AAL	アメリカン航空
AAPL	アップル
ABBV	アッヴィ
ABNB	エアビーアンドビー
ABT	アボット・ラボラトリーズ
ACN	アクセンチュア
ADBE	アドビ
ADI	アナログ・デバイセズ
ADP	オートマチック・データ・プロセッシング
ADSK	オートデスク
AFL	アフラック
AFRM	アファーム・ホールディングス
AI	シースリーエーアイ
AJG	アーサー・J・ギャラガー
AMAT	アプライド・マテリアルズ
AMD	アドバンスト・マイクロ・デバイセズ
AMGN	アムジェン
AMZN	アマゾン・ドットコム
ANET	アリスタ・ネットワークス
AON	エーオン
APD	エア・プロダクツ&ケミカルズ
APH	アンフェノール
APP	アップラビン
ARM	アーム・ホールディングス ADR
ASML	ASMLホールディング NYRS
AVGO	ブロードコム
AXON	アクソン・エンタープライズ
AXP	アメリカン・エキスプレス
AZO	オートゾーン
BA	ボーイング
BAC	バンク・オブ・アメリカ
BDX	ベクトン・ディッキンソン
BKNG	ブッキング・ホールディングス
BLK	ブラックロック
BMY	ブリストル・マイヤーズ・スクイブ
BRKB	バークシャー・ハサウェイ
BSX	ボストン・サイエンティフィック
BX	ブラックストーン
BYND	ビヨンド ミート
C	シティグループ
CAT	キャタピラー
CB	チャブ
CCL	カーニバル
CDNS	ケイデンス・デザイン・システムズ
CEG	コンステレーション・エナジー
CGNX	コグネックスコーポレーション
CHTR	チャーター・コミュニケーションズ
CI	シグナ・グループ
CL	コルゲート・パルモリーブ
CMCSA	コムキャスト
CME	CMEグループ
CMG	チポトレ・メキシカン・グリル
COF	キャピタル・ワン・ファイナンシャル
COIN	コインベース・グローバル
COP	コノコフィリップス
COST	コストコ・ホールセール
CPB	キャンベルズ
CRM	セールスフォース
CRSP	クリスパー・セラピューティクス
CRWD	クラウドストライク・ホールディングス
CSCO	シスコシステムズ
CSGP	コスター・グループ
CSX	CSX
CVS	CVSヘルス
CVX	シェブロン
DAL	デルタ航空
DASH	ドアダッシュ
DDOG	データドッグ
DE	ディア
DELL	デル・テクノロジーズ
DG	ダラー・ゼネラル
DHI	DRホートン
DHR	ダナハー・コーポレーション
DIS	ウォルト・ディズニー
DKNG	ドラフトキングス
DLO	ディーローカル
DLTR	ダラー・ツリー
DOCS	ドクシミティ
DOCU	ドキュサイン
DOW	ダウ
DPZ	ドミノ・ピザ
DUK	デューク・エナジー
DVN	デボン・エナジー
DXCM	デックス・コム
EBAY	イーベイ
ED	コンソリデーテッド・エジソン
EL	エスティ・ローダー
ELV	エレバンス・ヘルス
ENPH	エンフェーズ・エナジー
EOG	EOGリソーシーズ
EQT	EQT
ETN	イートン
EW	エドワーズ・ライフサイエンシズ
F	フォード・モーター
FAST	ファスナル
FCEL	フューエルセル・エナジー
FCX	フリーポート・マクモラン
FDX	フェデックス
FICO	フェア・アイザック
FISV	ファイサーブ
FSLR	ファーストソーラー
FSLY	ファストリー
FTNT	フォーティネット
GAP	ギャップ
GE	GEエアロスペース
GEV	GEベルノバ
GILD	ギリアド・サイエンシズ
GM	ゼネラル・モーターズ
GOOGL	アルファベット
GS	ゴールドマン・サックスG
HCA	HCAヘルスケア
HD	ホームデポ
HLT	ヒルトン・ワールドワイド・ホールディングス
HON	ハネウェル・インターナショナル
HOOD	ロビンフッド・マーケッツ
HPQ	HP
HSY	ハーシー
HUM	ヒューマナ
IBM	IBM
ICE	インターコンチネンタル取引所
ILMN	イルミナ
INTC	インテル
INTU	イントゥイット
ISRG	インテュイティブ・サージカル
ITW	イリノイ・ツール・ワークス
JNJ	ジョンソン・エンド・ジョンソン
JPM	JPモルガン・チェース
KDP	キューリグ・ドクター・ペッパー
KHC	クラフト・ハインツ
KLAC	KLA
KMB	キンバリー・クラーク
KO	コカ・コーラ
KR	クローガー
LHX	L3ハリス・テクノロジーズ
LIN	リンデ
LLY	イーライリリー
LMND	レモネード
LMT	ロッキード・マーティン
LOW	ロウズ
LRCX	ラム・リサーチ
LULU	ルルレモン
LYFT	リフト
MA	マスターカード
MAR	マリオット・インターナショナル
MCD	マクドナルド
MCHP	マイクロチップ・テクノロジー
MCK	マケッソン
MDB	モンゴDB
MDLZ	モンデリーズインターナショナル
MDT	メドトロニック
MELI	メルカドリブレ
META	メタ・プラットフォームズ
MMM	スリーエム
MNST	モンスター・ビバレッジ
MO	アルトリア・グループ
MPC	マラソン・ペトロリアム
MPWR	モノリシック・パワー・システムズ
MRK	メルク
MRNA	モデルナ
MRSH	マーシュ&マクレナン・カンパニーズ
MRVL	マーベル・テクノロジー
MS	モルガン・スタンレー
MSFT	マイクロソフト
MSTR	ストラテジー
MU	マイクロン・テクノロジー
NEE	ネクステラ・エナジー
NEM	ニューモント
NET	クラウドフレア
NFLX	ネットフリックス
NKE	ナイキ
NOC	ノースロップ・グラマン
NOW	サービスナウ
NVAX	ノババックス
NVDA	エヌビディア
