AAPD	Direxion デイリー アップル株ベア1倍ETF	lev
AAPU	Direxion デイリー アップル株ブル2倍ETF	lev
AMZD	Direxion デイリー アマゾン株ベア1倍ETF	lev
AMZU	Direxion デイリー アマゾン株ブル2倍ETF	lev
DRN	Direxion米国リートブル3倍ETF	lev
DRV	Direxion米国リートベア3倍ETF	lev
DVY	iシェアーズ好配当株式ETF	std
EDC	Direxion新興国株ブル3倍ETF	lev
EDZ	Direxion新興国株ベア3倍ETF	lev
EEM	iシェアーズMSCIエマージング	std
EMB	iシェアーズ米ドル建新興国債券	std
EWZ	iシェアーズMSCIブラジル	std
FXI	iシェアーズ 中国大型株	std
GLD	SPDRゴールド・シェア	std
GGLL	Direxion デイリー アルファベット株ブル2倍ETF	lev
GGLS	Direxion デイリー アルファベット株ベア1倍ETF	lev
HYG	iシェアーズドル建ハイイールド社債	std
LABD	Direxion デイリー S&Pバイオテック株ベア3倍ETF	lev
LABU	Direxion デイリー S&Pバイオテック株ブル3倍ETF	lev
MSFD	Direxion デイリー マイクロソフト株ベア1倍ETF	lev
MSFU	Direxion デイリー マイクロソフト株ブル2倍ETF	lev
NVDD	Direxion デイリー エヌビディア株ベア1倍ETF	lev
NVDU	Direxion デイリー エヌビディア株ブル2倍ETF	lev
OIH	ヴァンエック 石油サービスETF	std
PFF	iシェアーズ優先株式＆インカム証券	std
QQQ	インベスコQQQ	std
SHV	iシェアーズ米国国債0-1年ETF	std
SOXL	Direxion デイリー 半導体株ブル3倍ETF	lev
SOXS	Direxion デイリー 半導体株ベア3倍ETF	lev
SPXL	Direxion S&P500ブル3倍ETF	lev
SPXS	Direxion S&P500ベア3倍ETF	lev
SPY	SPDR S&P 500 ETF	std
SPYD	SPDR ポートフォリオS&P500高配当株式ETF	std
SQQQ	プロシェアーズ ウルトラプロ ショートQQQ	lev
SUSA	iシェアーズESGオプティマイズドMSCI米国ETF	std
TIP	iシェアーズ 米国物価連動国債ETF	std
TLT	iシェアーズ米国国債20年超	std
TMF	Direxion20年超米国債ブル3倍ETF	lev
TMV	Direxion20年超米国債ベア3倍ETF	lev
TQQQ	プロシェアーズ ウルトラプロQQQ	lev
TSLL	Direxion デイリー テスラ株ブル2倍ETF	lev
TSLS	Direxion デイリー テスラ株ベア1倍ETF	lev
USIG	iシェアーズ米ドル建投資適格社債	std
VEA	バンガード FTSE先進国市場(除く米国)ETF	std
VIG	バンガード 米国増配株式ETF	std
VT	バンガード トータル ワールド ストックETF	std
VTI	バンガード トータル ストック マーケットETF	std
VYM	バンガード 米国高配当株式ETF	std
